*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DHCP V2.4.1
*Date=00:15:18
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
120;;THT;66.9447;-22.7883;0;Bottom;J14
121;;;6.56542;-35.8624;90;Bottom;TXT2
122;;5 mm [THT];29.7175;-42.3984;0;Bottom;PWR
123;;THT;1.83461;-5.52741;180;Bottom;J17
124;;;60.6765;-7.47021;0;Bottom;Via16
125;;;24.1395;-52.8611;0;Bottom;TXT9
126;;;39.305;0.693781;0;Bottom;TXT11
127;;;8.47647;-25.2667;0;Bottom;Via50
128;;;61.1076;-52.6386;0;Bottom;TXT9
129;;;58.8453;-0.579332;0;Bottom;TXT9
130;;;60.1384;-53.2389;0;Bottom;TXT11
131;;THT;67.0356;-15.0319;0;Bottom;J5
132;330;THT;52.8726;-38.8533;-90;Bottom;R1
133;;;65.2133;0.519368;0;Bottom;TXT11
134;;;38.172;-0.607272;0;Bottom;TXT9
135;;THT;55.0632;-51.1532;90;Bottom;J19
136;;THT;64.3754;-44.3424;0;Bottom;J16
137;;;60.7058;-41.7192;0;Bottom;Via15
138;;;45.7131;-0.51301;0;Bottom;TXT9
139;;;12.2967;-44.1844;0;Bottom;Via51
140;;;43.0817;-53.2416;0;Bottom;TXT11
141;;;21.5762;-52.8206;0;Bottom;TXT9
142;;;19.0639;-52.797;0;Bottom;TXT9
143;;;22.6246;-38.5275;0;Bottom;Via39
144;;;15.109;-46.7245;0;Bottom;Via26
