*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DHCP V2.3.5
*Date=01:52:39
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
115;;;31.6158;0.675872;0;Bottom;TXT11
116;;;65.6207;-39.6268;0;Bottom;Via24
117;;;14.3322;-51.1042;0;Bottom;Hole1
118;;;39.3051;0.693805;0;Bottom;TXT11
119;;;32.3799;-22.5808;0;Bottom;TXT8
120;;;11.8958;-17.1134;0;Bottom;Via29
121;;THT;64.3754;-44.3424;0;Bottom;
122;;;15.1489;-48.789;0;Bottom;Via23
123;;;17.5455;-2.48946;-90;Bottom;TXT4
124;;;31.3838;-18.8239;0;Bottom;TXT7
125;;;22.6201;-35.9729;0;Bottom;Via44
126;;;36.8651;0.732277;0;Bottom;TXT11
127;;;38.3197;-5.12071;0;Bottom;Via9
128;;THT;30.4703;-51.1673;90;Bottom;
129;;;53.0724;-44.3131;0;Bottom;TXT11
130;;;2.52592;-0.894619;0;Bottom;TXT3
131;;;12.2967;-44.1845;0;Bottom;Via51
132;;;31.8424;-52.8882;0;Bottom;TXT9
133;;THT;66.9447;-22.7883;0;Bottom;
134;;;61.2768;-0.522897;0;Bottom;TXT9
135;;;14.4042;-2.37507;0;Bottom;Hole2
136;;;40.7064;-0.579402;0;Bottom;TXT9
137;;;55.9699;-18.8963;0;Bottom;Via47
138;;;30.4731;-0.619533;0;Bottom;TXT9
139;330;THT;49.4422;-38.9982;-90;Bottom;R2
